city	macroregion
ANCHIETA	Western Santa Catarina
BANDEIRANTE	Western Santa Catarina
BARRA BONITA	Western Santa Catarina
BELMONTE	Western Santa Catarina
DESCANSO	Western Santa Catarina
DIONISIO CERQUEIRA	Western Santa Catarina
GUARACIABA	Western Santa Catarina
GUARUJA DO SUL	Western Santa Catarina
IPORA DO OESTE	Western Santa Catarina
ITAPIRANGA	Western Santa Catarina
MONDAI	Western Santa Catarina
PALMA SOLA	Western Santa Catarina
PARAISO	Western Santa Catarina
PRINCESA	Western Santa Catarina
RIQUEZA	Western Santa Catarina
ROMELANDIA	Western Santa Catarina
SANTA HELENA	Western Santa Catarina
SAO JOAO DO OESTE	Western Santa Catarina
SAO JOSE DO CEDRO	Western Santa Catarina
SAO MIGUEL DO OESTE	Western Santa Catarina
TUNAPOLIS	Western Santa Catarina
AGUAS DE CHAPECO	Western Santa Catarina
AGUAS FRIAS	Western Santa Catarina
BOM JESUS DO OESTE	Western Santa Catarina
CAIBI	Western Santa Catarina
CAMPO ERE	Western Santa Catarina
CAXAMBU DO SUL	Western Santa Catarina
CHAPECO	Western Santa Catarina
CORDILHEIRA ALTA	Western Santa Catarina
CORONEL FREITAS	Western Santa Catarina
CUNHA PORA	Western Santa Catarina
CUNHATAI	Western Santa Catarina
FLOR DO SERTAO	Western Santa Catarina
FORMOSA DO SUL	Western Santa Catarina
GUATAMBU	Western Santa Catarina
IRACEMINHA	Western Santa Catarina
IRATI	Western Santa Catarina
JARDINOPOLIS	Western Santa Catarina
MARAVILHA	Western Santa Catarina
MODELO	Western Santa Catarina
NOVA ERECHIM	Western Santa Catarina
NOVA ITABERABA	Western Santa Catarina
NOVO HORIZONTE	Western Santa Catarina
PALMITOS	Western Santa Catarina
PINHALZINHO	Western Santa Catarina
PLANALTO ALEGRE	Western Santa Catarina
QUILOMBO	Western Santa Catarina
SALTINHO	Western Santa Catarina
SANTA TEREZINHA DO PROGRESSO	Western Santa Catarina
SANTIAGO DO SUL	Western Santa Catarina
SAO BERNARDINO	Western Santa Catarina
SAO CARLOS	Western Santa Catarina
SAO LOURENCO DO OESTE	Western Santa Catarina
SAO MIGUEL DA BOA VISTA	Western Santa Catarina
SAUDADES	Western Santa Catarina
SERRA ALTA	Western Santa Catarina
SUL BRASIL	Western Santa Catarina
TIGRINHOS	Western Santa Catarina
UNIAO DO OESTE	Western Santa Catarina
ABELARDO LUZ	Western Santa Catarina
BOM JESUS	Western Santa Catarina
CORONEL MARTINS	Western Santa Catarina
ENTRE RIOS	Western Santa Catarina
FAXINAL DOS GUEDES	Western Santa Catarina
GALVAO	Western Santa Catarina
IPUACU	Western Santa Catarina
JUPIA	Western Santa Catarina
LAJEADO GRANDE	Western Santa Catarina
LAJEADO	Western Santa Catarina
MAREMA	Western Santa Catarina
OURO VERDE	Western Santa Catarina
PASSOS MAIA	Western Santa Catarina
PONTE SERRADA	Western Santa Catarina
SAO DOMINGOS	Western Santa Catarina
VARGEAO	Western Santa Catarina
XANXERE	Western Santa Catarina
XAXIM	Western Santa Catarina
AGUA DOCE	Western Santa Catarina
ARROIO TRINTA	Western Santa Catarina
CACADOR	Western Santa Catarina
CALMON	Western Santa Catarina
CAPINZAL	Western Santa Catarina
CATANDUVAS	Western Santa Catarina
ERVAL VELHO	Western Santa Catarina
FRAIBURGO	Western Santa Catarina
HERVAL DO OESTE	Western Santa Catarina
HERVAL D'OESTE	Western Santa Catarina
HERVAL D''OESTE	Western Santa Catarina
HERVAL DOESTE	Western Santa Catarina
IBIAM	Western Santa Catarina
IBICARE	Western Santa Catarina
IOMERE	Western Santa Catarina
JABORA	Western Santa Catarina
JOACABA	Western Santa Catarina
LACERDOPOLIS	Western Santa Catarina
LEBON REGIS	Western Santa Catarina
LUZERNA	Western Santa Catarina
MACIEIRA	Western Santa Catarina
MATOS COSTA	Western Santa Catarina
OURO	Western Santa Catarina
PINHEIRO PRETO	Western Santa Catarina
RIO DAS ANTAS	Western Santa Catarina
SALTO VELOSO	Western Santa Catarina
TANGARA	Western Santa Catarina
TREZE TILIAS	Western Santa Catarina
VARGEM BONITA	Western Santa Catarina
VIDEIRA	Western Santa Catarina
ALTO BELA VISTA	Western Santa Catarina
ARABUTA	Western Santa Catarina
ARVOREDO	Western Santa Catarina
CONCORDIA	Western Santa Catarina
IPIRA	Western Santa Catarina
IPUMIRIM	Western Santa Catarina
